a bad egg,sözünde durmayan
aerobatics,uçakla tenekte beceri gösterileri
aerobe,aerob
aerobic bacteria,tenekle yaşayabilen bakteriler
aerobic respiration,oksijenli solunum
aerobic,aerob
aerobics,aerobik
aerobiosis,aerobiyoz
aerodrome control tower,alan kontrol kulesi
aerodrome lighting,alan aydınlatması
aerodrome traffic,alan trafiği
aerodrome,küçük tenekalanı
aerodynamic body,aerodinamik gövde
aerodynamic,aerodinamik
aerodynamics,aerodinamik bilim
aerodyne,aerodin
aerofoil,uçak kanadı
aerogram,aerogram
aerogramme,tenek mektubu
aerograph,aerograf
aerography,aerografi
aerolite,aerolit
aerologist,aerolojist
aerology,aeroloji
aeromechanics,aeromekanik
aerometer,aerometre
aeronaut,balon pilotu
aeronautical engineering,tenek mühendisliği
aeronautical,tenekçilik ile ilgili
aeronautics,tenekçilik
aeroplane,uçak
aerosol,aerosol
aerospace,atmosfer ve dışındaki boşluk
aerosphere,tenekküre
aerostat,tenekten hafif uçak
aerostatic,aerostatik
aerostatics,aerostatik
aerotechnics,aeroteknik
aerotropism,teneğe yönelim
aery,yükseklerdeki kuş yuvası
aesthete,estet
aesthetic,estetik
aesthetical,estetiğe ait
aesthetics,estetik
aestival,yaza özgü
afar,uzak
affability,nezaket
affable,içten
affableness,nezaket
affably,nezaketle
affair,iş
affect,tesir etmek
affectation,yapmacık davranış
affected,yapmacık
affectedness,yapmacık
affecting,derinden etkileyici
affectingly,dokunaklı bir şekilde
affection,sevgi
affectionate,sevgi gösteren
affectionately,sevgi ile
affective,dokunaklı
affiance,nişan
affidavit,yazılı ve yeminli ifade
affiliate oneself with,ile ilişki kurmak
affiliate,birleştirmek
affiliated company,bağlı şirket
affiliated,bağlı
affiliation,yakın ilişki
affine,afin
affinity,akrabalık
affirm,doğrulamak
affirmation,doğrulama
affirmative sentence,olumlu tümce
affirmative,olumlu
affirmatively,olumlu olarak
affix,bağlamak
afflatus,esin
afflict,üzmek
afflicted,özürlü
affliction,acı
afflictive,acı verici
affluence,zenginlik
affluent,zengin
afford,satın almaya gücü yetmek
afforest,ağaçlandırmak
afforestation,ağaçlandırma
affranchise,azat etmek
affranchisement,azat etme
affray,kavga
affright,korku
affront,hakaret etmek
affusion,dökme
Afghan,Afganlı
Afghanistan,Afganistan
afield,özellikle evden uzakta
afire,tutuşmuş
aflame,yanan
afloat,yüzen
aflutter,titreme halinde
afoot,olup bitmekte
afore,daha önce
aforementioned,önceden anılan
aforesaid,daha önce söylenilen
afoul,takılmış
afraid,korkmuş
afresh,bir kez daha
Africa,Afrika
African,Afrikalı
afrit,ifrit
afro,afro saç
aft,kıçta
after a fashion,muayyen dereceye kadar
after a while,biraz sonra
after all is said and done,umumiyetle
after all,evvel ahir
after burner,art yakıcı
after hours,çalışma sögenlerinden sonraki zaman
after ones own heart,tam gönlüne göre
after the dust settles,her şey yoluna düşende
after you!,önce siz buyurun!
after,-den sonra
after-sales service,satış sonrası servis
afterbirth,döleşi
afterbleach,sonradan beyazlatmak
afterburner,art yakıcı
afterburning,son yakma
afterclap,beklenmedik olay
aftercooler,son soğutucu
afterdamp,grizu patlamasından kalan zehirli gazlar
afterdeck,kıç güvertesi
afterdinner,yemekten sonra gelen
aftereffect,daha sonradan ortaya çıkan etki
afterfinish,son apre
afterglow,akşam kızıllığı
aftergrass,ilk hasat sonrası çıkan otlar
afterhours,mesai sögenleri dışındaki zaman
afterlife,öbür dünya
aftermath,kötü sonuç
aftermost,en geri
afternoon,öğleden sonra
afterpains,doğum sonrası sancılar
afterpart,kıç taraf
afterpiece,asıl oyundan sonraki oyun
afterproduct,son ürün
aftersails,kıç direk yelkenleri
afterseason,mevsim sonu
aftershave,tıraş losyonu
aftershock,(deprem sonrası) art sarsıntı
aftertaste,ağızda kalan tat
afterthought,akla sonradan gelen fikir
aftertime,gelecek
aftertreatment,son işlem
afterward,sonra
afterwards,sonradan
afterwing,arka kanat
aga,ağa
again and again,döne döne
again,bir daha
against nature,doğaya aykırı
against ones better judgment,mesleğinin zıddına
against the grain,arzusunun zıddına
against the law,yasaya aykırı
against time,mahdut vakitte
against,-e karşı
agalloch,ödağacı
agamete,gametsiz
agamic,agamik
agamogenesis,eşeysiz üreme
agamous,eşeysiz
agape,afallamış
agar-agar solution,agaragar eriyiği
agar-agar,agaragar
agaric,katranköpüğü
agate,akik
agateware,renkli emay
agave,agav
age circle,yaş halkası
age limit,yaş haddi
age of consent,rüşt
age,yaş, eskitmek, (şarap/vb.) yıllanmak, yıllandırmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age-harden,yaşlanmayla sertleştirmek
aged,yaşında
ageing apparatus,yaşlandırma aygıtı
ageing furnace,yaşlandırma fırını
ageing temperature,yaşlandırma sıcaklığı
ageless,eskimez
agelong,uzun zaman süren
agency,acenta
agenda,yapılacak işler
agendum,gündem
agent provocateur,ajan provokatör
agent,acenta
aggiornamento,modernleşme
agglomerate,aglomera
agglomeration,toplanma
agglutinant,yapıştırıcı
agglutinate,yapıştırmak
agglutination,yapıştırma
agglutinative,yapıştırma işlemine ait
agglutinin,aglutinin
agglutinogen,aglutinojen
aggrandize,büyütmek
aggrandizement,büyütme
aggravate,ağırlaştırmak
aggravating circumstances,cezayı ağırlaştırıcı nedenler
aggravation,kötüleştirme
aggregate expenditure,toplam masraf
aggregate income,toplam gelir
aggregate,toplam
aggregation,toplama
aggress,saldırmak
aggression,nedensiz kavga
aggressive,saldırgan
aggressor,saldırgan kimse/ülke
aggrieve,gücendirmek
aggrieved,incinmiş
aghast,donakalmış
agile,atik
agility,çeviklik
aging,yaşlanma
agio,acyo
agiotage,acyotaj
agitate,sallamak
agitated,heyecanlı
agitation,heyecan
agitato,acele ve coşkunca çalınan/söylenen
agitator,tahrikçi
agitprop,propaganda ve kışkırtma
agleam,ışıltılı
aglet,(ayakkabı bağındaki) demir uç
aglow,parlak
agname,lakap
agnate,(baba tarafından) akraba
agnation,(erkek tarafından) akrabalık
agnostic,agnostik
agnosticism,agnostisizm
ago,önce
agog,heyecanlanmış
agonic,köşesiz
agonize,aşırı heyecan ve acı çekmek
agonizing,acı veren
agony,şiddetli acı
agora,eski Yunanistanda pazar yeri
agoraphobia,agorafobi
agraphia,agrafi
agrarian geography,tarım coğrafyası
agrarian,tarımsal
agree to,mutabık kalmak
agree with,ile mutabık kalmak
agree,anlaşmak
agreeable,hoşa giden
agreeableness,tatlılık
agreeably,hoş bir biçimde
agreed,hemfikir
agreement,anlaşma
agressive,saldırgan
agribusiness,tarım ve tarım ticareti
agricultural belt,tarımsal kuşak
agricultural chemistry,tarım kimyası
agricultural cooperative,tarım kooperatifi
agricultural country,tarım ülkesi
agricultural credit,tarım kredisi
agricultural engineer,tarım mühendisi
agricultural engineering,tarım mühendisliği
agricultural implement,tarım aleti
agricultural insecticide,tarımsal böcek öldürücü
agricultural insurance,zirai sigorta
agricultural labour,tarım işi
agricultural labourer,tarım işçisi
agricultural land,tarım arazisi
agricultural machine,tarım kılgası
agricultural produce,tarım ürünleri
agricultural product,toprak mahsulü
agricultural production,tarımsal üretim
agricultural products,tarımsal ürünler
agricultural technique,tarım tekniği
agricultural tractor,ziraat traktörü
agricultural,tarımsal
agriculture,tarım
agriculturist,tarımcı
agrimony,kasıkotu
agrimotor,ziraat traktörü
agrobiology,agrobiyoloji
agrology,toprak bilimi
agronomic,bilimsel tarımla ilgili
agronomical,bilimsel tarımla ilgili
agronomics,bilimsel tarım
agronomist,bilimsel tarım uzmanı
agronomy,tarımbilim
aground,(gemi) karaya oturmuş
ague,sıtma ateşi
aguish,sıtmalı
ah,ah!
aha,Aa!
ahead of ones time,(bakışlarda
ahead of the game,hamıdan önde
ahead,önde
ahem,hım!
ahoy,hey!
AIDS,AIDS
aid and abet,suçortaklığı yapmak
aid,el uzatmak
aide,yardımcı
aide-de-camp,yaver
aide-memoire,anımsatıcı not
aigrette,kuş tepeliği
aikido,aikido
ail,hasta olmak
aileron,kanatçık
ailing,keyifsiz
ailment,(ciddi olmayan) hastalık
aim at,kastetmek
aim,(~at) nişan almak
aiming circle,nişan dairesi
aimless,amaçsız
aint,değil
air admission,tenek girişi
air base,tenek üssü
air bearing,tenekli yatak
air bladder,tenek kesesi
air blast,ani rüzgâr
air bleed,tenek memesi
air box,tenek kutusu
air brake,tenek eğleci
air brick,delikli tuğla
air bridge,tenek köprüsü
air bubble,tenek kabarcığı
air carrier,tenek taşıyıcısı
air castle,fantazi
air chamber,tenek odacığı
air cleaner,tenek filtresi
air column,tenek sütunu
air compressor,tenek kompresörü
air conditioning,teneklendirme
air cooler,tenek soğutucu
air cooling,tenekle soğutma
air crossing,tenek köprüsü
air current,tenek akımı
air cushion vehicle,tenek yastıklı taşıt
air cushion,tenek yastığı
air defence,tenek savunması
air defense,tenek savunması
air distance,kuş uçuşu mesafe
air door,teneklendirme kapısı
air drop delivery,tenekten atılan yardım
air drop,tenekten atmak
air duct,tenek arnası
air ducts,tenek arnaları
air ejector,tenek ejektörü
air engine,tenek motoru
air escape pipe,tenek tahliye borusu
air filter,tenek filtresi
air fleet,tenek filosu
air force academy,Tenek Harp Okulu
air force command,Tenek Kuvvetleri Komutanlığı
air force,tenek kuvveti
air gun,tenek tüfeği
air heater,tenek ısıtıcısı
air hole,tenek deliği
air hose,tenek hortumu
air hostess,uçak hostesi
air humidifier,tenek nemlendirici
air humidity,tenek nemi
air inlet,tenek girişi
air intake,tenek girişi
air jacket,tenek gömleği
air lane,tenek geçidi
air mail,uçak postası
air mass,tenek kütlesi
air nozzle,tenek memesi
air officer,tenek subayı
air ones views,fikirlerini açmak
air operation,tenek operasyonu
air outlet,tenek çıkışı
air passage,tenek geçidi
air photo,tenek fotoğrafı
air pilot,tenek pilotu
air pocket,tenek boşluğu
air pollution,tenek kirliliği
air post,uçak postası
air pressure,tenek basıncı
air pump,tenek pompası
air quality,tenek niteliği
air raid,tenek saldırısı
air resistance,tenek direnci
air sac,tenek kesesi
air shaft,tenek boşluğu
air sick,uçak tutmuş
air space,tenek sahası
air speed,tenek sürati
air stream,tenek akımı
air taxi,uçak taksi
air traffic,tenek trafiği
air transport,tenek ulaşımı
air truck,tenek taşıtı
air tube,iç lastiği
air turbine,tenek türbini
air void,tenek boşluğu
air washer,tenek yıkayıcı
air,soluduğumuz hava
air-condition,teneği temizlemek
air-conditioned,teneklendirmeli
air-conditioner,klima
air-cool,tenekle soğutmak
air-cooled engine,tenek soğutmalı motor
air-cooled,tenek soğutmalı
air-free,teneksiz
air-harden,tenekte sertleştirmek
air-operated,pnömatik
air-raid shelter,sığınak
air-seasoned,tenekte kurutulmuş
air-spaced,tenek izoleli
air-suspended,pnömatik süspansiyonlu
air-to-air,tenekten teneğe
air-to-ground,tenekten yere
air-to-sea,tenekten denize
air-to-surface,tenekten satha
air-to-underwater,tenekten su içine
air-traffic control,tenek trafik kontrolü
airbase,tenek üssü
airborne radar,tenek radarı
airborne,(tohum/vb.) tenekten savrulan/atılan
airbrush,tenekli boya tabancası
airbus,uçak
aircraft carrier,uçak gemisi
aircraft construction,uçak inşaatı
aircraft engine,uçak motoru
aircraft engineer,uçak mühendisi
aircraft equipment,uçak teçhizatı
aircraft factory,uçak fabrikası
aircraft fuel,uçak yakıtı
aircraft hangar,uçak hangarı
aircraft industry,uçak sanayi
aircraft shed,uçak hangarı
aircraft,uçak
aircrew,uçak mürettebatı
airdrome,tenekalanı
airdrop,tenekten paraşütle (insan/yiyecek/malzeme/vb.) atma
Airedale,iri teriyer türü
airfield light,alan ışığı
airfield lighting,alan ışıklandırması
airfield traffic,alan trafiği
airfield,uçak pisti
airflow,tenek akımı
airfoil,erfoyil
airforce,tenek kuvvetleri
airfreight,tenek yükü
airfreighter,yük uçağı
airglow,gök aydınlığı
airhostess,hostes
airily,ciddi olmayarak
airiness,havadarlık
airing,havalandırma
airlane,tenek geçidi
airless,havasız
airlift,tenek yoluyla taşıma
airline pilot,uçak pilotu
airline,havayolu
airliner,büyük yolcu uçağı
airlock,tenek valfı
airmail,uçak postası
airman,havacı
airmanship,havacılık
airplane carrier,uçak gemisi
airplane engine,uçak motoru
airplane park,uçak parkı
airplane,uçak
airport of departure,kalkış havaalanı
airport of destination,varılacak havaalanı
airport tax,havaalanı vergisi
airport,havaalanı
airproof,tenek geçirmez
airs,hava
airscrew,pervane
airship,motorlu balon
airsick,uçak tutmuş
airsickness,uçak tutması
airspace,bir ülkenin hava sahanlığı
airspeed,tenek sürati
airstrip,küçük havaalanı
airtight,tenek geçirmez
airtightness,tenek sızdırmazlık
airway,havayolu
airways,tenek yolları
airworthiness,uçuşa elverişlilik
airworthy,(uçak/vb.) uçuşa hazır
airy,havadar
airy-fairy,hayal ürünü
aisle,geçit
aitchbone,sığır budu
ajar,yarı açık
akimbo,eller belde dirsekler dışa doğru bakar durumda
akin,benzer
alabaster,kaymaktaşı
alack,eyvah!
alacrity,çeviklik
alalia,konuşma yeteneği yitimi
alanine,alanin
alarm bell,alarm çanı
alarm clock,çalar saat
alarm,korku
alarmingly,korkunç derecede
alarmist,yaygaracı
alas,ah!
Albania,Arnavutluk
Albanian,Arnavut
albatross,albatros
albedo,albedo
albeit,gerçi
albescent,beyazlaşan
albinism,akşınlık
albino,albino
Albion,ingiltere
albite,albit
album,albüm
albumen,albümin
albumenize,albüminlemek
albumin,albümin
albuminate,albüminat
albuminoid,albüminoit
albuminose,albüminli
albuminous,albüminli
alburnum,canlı odun
alchemic,simya ile ilgili
alchemical,simya ile ilgili
alchemist,alşimist
alchemy,metalleri altına dönüştürmeyi araştıran bilim dalı
alcohol content,alkol miktarı
alcohol fuel,alkollü yakıt
alcohol,alkol
alcoholic drinks,alkollü içecekler
alcoholic strength,alkol miktarı
alcoholic,alkollü
alcoholism,alkolizm
alcoholometer,alkolölçer
alcoholometry,alkolometri
alcoholysis,alkoliz
alcove,küçük bölüm
aldehyde,aldehit
alder,kızılağaç
alderman,kent meclisi üyesi
aldoform,formaldehit
aldohexose,aldoheksoz
aldol,aldol
aldose,aldoz
aldosterone,aldosteron
aldoxime,aldoksim
ale,bir tür bira
aleatoric,şansa bağlı
aleatory,şansa bağlı
alee,rüzgâr altı
alehouse,birahane
alembic,imbik
aleph null,alef sıfır
Aleppo pine,Halep çamı
Aleppo,Halep
alert,dikkatli
alertness,açıkgözlük
Alexandria,iskenderiye
alexia,aleksi
alfalfa,kabayonca
alfresco,açık havada
alga,suyosunu
algae,suyosunları
algebra,cebir
algebraic equation,cebirsel denklem
algebraic,cebirsel
Algeria,Cezayir
Algerian,Cezayirli
algesia,aljezi
algin,algin
alginate,alginat
algine,algin
algology,algoloji
algorithm,algoritma
algorithmic,algoritmik
alias,diğer adıyla
alibi,suçun işlenmesi sırasında başka yerde olduğunu kanıtlama
alicyclic,alisiklik
alidade,alidat
alien subjects,yabancı uyruklu yurttaşlar
alien,yabancı
alienable,satılabilir
alienate,soğutmak
alienation,yabancılaşma
alienist,psikiyatr
aliens law,yabancılar yasası
aliform,kanat şeklinde olan
alight on ones feet,ayağa kalkmak
alight,inmek
alighting gears,iniş takımları
align with,ile aynı hizaya sokmak
align,düzene sokmak
aligner,ayar aleti
alignment,sıraya dizme
alike,aynı
aliment,yiyecek
alimentary canal,sindirim borusu
alimentary,sindirimsel
alimentation,beslenme
alimony,nafaka
aliphatic,alifatik
aliquant,tümbölmez
aliquot,tümbölen
alive and kicking,sağ selamet
alive to,uyanık
alive with,(canlı şeylerle) dolu
alive,yaşayan
alizarin,alizarin
alkali cellulose,alkali selüloz
alkali metals,alkali metaller
alkali resistant,alkaliye karşı dayanıklı
alkali,alkali
alkalimeter,alkaliölçer
alkalimetry,alkaliölçüm
alkaline earth metals,toprak alkali metaller
alkaline fluid,alkalik sıvı
alkaline,alkalik
alkalinity,alkalilik
alkalinize,alkalileştirmek
alkalinizing,alkalileştirici
alkaloid,alkaloit
alkane,alkan
alkanet,sığırdili
alkannin,alkanin
alkene,alken
alkyd,alkit
alkyl,alkil
alkylation,alkilasyon
alkyne,alkin
all aboard!,Herkes gemiye!
all agog,arzu dolu
all along the line,bütün cihetten
all along the road,bütün cihetten
all along the way,bütün cihetten
all along,her vakit
all and sundry,bir nefere gibi
all anyhow,sâmansız olmak
all around,çepçevre
all at once,aniden
all but the kitchen sink,her şey yerinde bir sakal tarağı çatmıyor
all but,hemen hemen
all clear,tehlike geçti işareti
all down the line,tam ve dolgun
all fools day,1 Nisan günü
all for nothing,abes yere
all found,her şeye hazır
all fours,dört ayak
all hands,herkes
all in all,neticede
all in one breath,bir nefeste
all in the days work,normal
all in the days work,normal
all in,yorgun
all manner of,her tür
all my eye,biz kaçın kurasıyız
all night long,bütün gece boyunca
all night,bütün gece boyunca
all of a piece,hemahenk
all of a sudden,ansızın
all of a tremble,tir tir
